Ad	Adamantite
Ae	Aether
Au	Australium
Ba	Bavarium
By	Byzanium
Ca	Carbonite
Ch	Chlorophyte
Cr	Cronoton
Di	Dilithium
Du	Duranium
Dr	Durium
Ds	Dust
Ez	Element-Zero
Fe	Feminium
Fr	Frinkonium
Ha	Harbenite
Ic	Ice-Nine
In	Inerton
Ir	Iridium
J	Jerktonium
Ka	Katchin
K	Kryptonite
Me	Meteorillium
M	Mithril
Na	Naqahdah
O	Octiron
Or	Orichalcum
Po	Polydenum
Ph	Philote
Re	Redstone
Sa	Saronite
Sc	Scrith
Sp	Spice-Melange
Ta	Tachyon
Tr	Transformium
Ti	Tritanium
Un	Unobtainum
Up	Upsidaisium
Vi	Vibranium
Wi	Wishalloy
X	Metal-X
